Date,SKU Code,SKU Name,Platform,Ad Spend (₹),Impressions,Clicks,CTR,Ad Orders,Attributed Revenue (₹),ROAS,ACoS
2026-08-08,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Flipkart,660,19140,380,1.99%,40,16760,25.39x,3.9%
2026-08-07,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Meesho,221,7293,245,3.36%,29,12151,54.98x,1.8%
2026-08-06,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Myntra,1073,24679,1050,4.25%,74,31006,28.90x,3.5%
2026-08-05,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Own Website,321,11235,377,3.36%,50,20950,65.26x,1.5%
2026-08-04,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Amazon,669,18732,626,3.34%,88,36872,55.12x,1.8%
2026-08-03,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Flipkart,847,18634,723,3.88%,63,26397,31.17x,3.2%
2026-08-02,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Meesho,732,21960,543,2.47%,26,10894,14.88x,6.7%
2026-08-01,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Myntra,650,24050,1262,5.25%,130,54470,83.80x,1.2%
2026-07-31,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Own Website,191,4966,225,4.53%,9,3771,19.74x,5.1%
2026-07-30,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Amazon,1292,43928,1545,3.52%,190,79610,61.62x,1.6%
2026-07-29,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Flipkart,707,26159,1181,4.51%,42,17598,24.89x,4.0%
2026-07-28,Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",Meesho,853,29855,575,1.93%,61,25559,29.96x,3.3%
2026-08-11,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Own Website,522,14094,358,2.54%,47,19693,37.73x,2.7%
2026-08-10,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Amazon,273,8463,386,4.56%,19,7961,29.16x,3.4%
2026-08-09,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Flipkart,387,11610,496,4.27%,55,23045,59.55x,1.7%
2026-08-08,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Meesho,319,10846,582,5.37%,74,31006,97.20x,1.0%
2026-08-07,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Myntra,878,34242,1383,4.04%,125,52375,59.65x,1.7%
2026-08-06,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Own Website,1271,31775,1669,5.25%,116,48604,38.24x,2.6%
2026-08-05,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Amazon,239,4063,114,2.81%,15,6285,26.30x,3.8%
2026-08-04,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Flipkart,528,7920,178,2.25%,6,2514,4.76x,21.0%
2026-08-03,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Meesho,1254,43890,2017,4.60%,253,106007,84.54x,1.2%
2026-08-02,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Myntra,356,11036,539,4.88%,67,28073,78.86x,1.3%
2026-08-01,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Own Website,920,26680,711,2.66%,45,18855,20.49x,4.9%
2026-07-31,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Amazon,1211,39963,2174,5.44%,225,94275,77.85x,1.3%
2026-07-30,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Flipkart,1232,27104,1449,5.35%,76,31844,25.85x,3.9%
2026-07-29,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Meesho,1323,23814,854,3.59%,107,44833,33.89x,3.0%
2026-07-28,VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),Myntra,300,4800,98,2.04%,11,4609,15.36x,6.5%
2026-08-11,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Amazon,1225,36750,1513,4.12%,63,26397,21.55x,4.6%
2026-08-10,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Flipkart,1020,17340,665,3.84%,36,15084,14.79x,6.8%
2026-08-09,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Meesho,1179,25938,1031,3.97%,136,56984,48.33x,2.1%
2026-08-08,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Myntra,627,21318,1013,4.75%,32,13408,21.38x,4.7%
2026-08-07,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Own Website,940,24440,482,1.97%,53,22207,23.62x,4.2%
2026-08-06,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Amazon,168,3024,128,4.23%,17,7123,42.40x,2.4%
2026-08-05,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Flipkart,1328,30544,1504,4.92%,84,35196,26.50x,3.8%
2026-08-04,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Meesho,1110,35520,1135,3.20%,95,39805,35.86x,2.8%
2026-08-03,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Myntra,204,7548,259,3.43%,37,15503,76.00x,1.3%
2026-08-02,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Own Website,1078,32340,493,1.52%,21,8799,8.16x,12.3%
2026-08-01,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Amazon,291,5529,96,1.74%,8,3352,11.52x,8.7%
2026-07-31,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Flipkart,328,12136,307,2.53%,35,14665,44.71x,2.2%
2026-07-30,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Meesho,497,12425,263,2.12%,22,9218,18.55x,5.4%
2026-07-29,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Myntra,1282,24358,1204,4.94%,57,23883,18.63x,5.4%
2026-07-28,ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,Own Website,180,2700,48,1.78%,4,1676,9.31x,10.7%
2026-08-11,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Flipkart,1246,34888,1048,3.00%,121,50699,40.69x,2.5%
2026-08-10,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Meesho,616,20328,1054,5.18%,71,29749,48.29x,2.1%
2026-08-09,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Myntra,891,31185,1419,4.55%,112,46928,52.67x,1.9%
2026-08-08,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Own Website,1062,21240,1062,5.00%,143,59917,56.42x,1.8%
2026-08-07,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Amazon,382,6494,168,2.59%,9,3771,9.87x,10.1%
2026-08-06,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Flipkart,796,25472,860,3.38%,29,12151,15.27x,6.6%
2026-08-05,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Meesho,640,16640,903,5.43%,130,54470,85.11x,1.2%
2026-08-04,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Myntra,1250,36250,747,2.06%,68,28492,22.79x,4.4%
2026-08-03,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Own Website,1124,43836,1864,4.25%,60,25140,22.37x,4.5%
2026-08-02,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Amazon,1236,33372,1339,4.01%,139,58241,47.12x,2.1%
2026-08-01,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Flipkart,537,18795,969,5.16%,122,51118,95.19x,1.1%
2026-07-31,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Meesho,467,13076,481,3.68%,52,21788,46.66x,2.1%
2026-07-30,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Myntra,1102,28652,1542,5.38%,100,41900,38.02x,2.6%
2026-07-29,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Own Website,1059,29652,1367,4.61%,45,18855,17.80x,5.6%
2026-07-28,VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),Amazon,871,30485,1417,4.65%,80,33520,38.48x,2.6%
2026-08-11,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Meesho,626,13772,465,3.38%,44,18436,29.45x,3.4%
2026-08-10,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Myntra,563,13512,669,4.95%,84,35196,62.52x,1.6%
2026-08-09,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Own Website,661,19830,1081,5.45%,59,24721,37.40x,2.7%
2026-08-08,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Amazon,318,6360,119,1.87%,10,4190,13.18x,7.6%
2026-08-07,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Flipkart,1091,41458,1644,3.97%,200,83800,76.81x,1.3%
2026-08-06,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Meesho,447,7152,298,4.17%,22,9218,20.62x,4.8%
2026-08-05,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Myntra,1184,43808,883,2.02%,99,41481,35.03x,2.9%
2026-08-04,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Own Website,744,25296,1252,4.95%,88,36872,49.56x,2.0%
2026-08-03,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Amazon,1004,38152,1693,4.44%,251,105169,104.75x,1.0%
2026-08-02,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Flipkart,1098,21960,795,3.62%,59,24721,22.51x,4.4%
2026-08-01,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Meesho,898,29634,1478,4.99%,121,50699,56.46x,1.8%
2026-07-31,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Myntra,428,9844,244,2.48%,34,14246,33.29x,3.0%
2026-07-30,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Own Website,504,8568,244,2.85%,16,6704,13.30x,7.5%
2026-07-29,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Amazon,1271,27962,1528,5.46%,100,41900,32.97x,3.0%
2026-07-28,Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),Flipkart,253,3795,158,4.16%,7,2933,11.59x,8.6%
2026-08-11,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Myntra,1245,32370,1357,4.19%,65,27235,21.88x,4.6%
2026-08-10,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Own Website,319,7337,177,2.41%,23,9637,30.21x,3.3%
2026-08-09,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Amazon,1073,30044,1304,4.34%,169,70811,65.99x,1.5%
2026-08-08,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Flipkart,506,12144,272,2.24%,28,11732,23.19x,4.3%
2026-08-07,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Meesho,880,20240,1106,5.46%,44,18436,20.95x,4.8%
2026-08-06,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Myntra,603,19899,590,2.96%,48,20112,33.35x,3.0%
2026-08-05,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Own Website,873,21825,573,2.63%,24,10056,11.52x,8.7%
2026-08-04,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Amazon,1246,46102,1618,3.51%,210,87990,70.62x,1.4%
2026-08-03,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Flipkart,1164,23280,1253,5.38%,116,48604,41.76x,2.4%
2026-08-02,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Meesho,872,27032,1304,4.82%,180,75420,86.49x,1.2%
2026-08-01,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Myntra,803,22484,828,3.68%,62,25978,32.35x,3.1%
2026-07-31,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Own Website,553,8295,214,2.58%,30,12570,22.73x,4.4%
2026-07-30,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Amazon,1305,46980,761,1.62%,71,29749,22.80x,4.4%
2026-07-29,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Flipkart,1163,27912,848,3.04%,46,19274,16.57x,6.0%
2026-07-28,Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,Meesho,976,17568,445,2.53%,16,6704,6.87x,14.6%
2026-08-11,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Own Website,561,18513,579,3.13%,70,29330,52.28x,1.9%
2026-08-10,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Amazon,348,5568,271,4.87%,16,6704,19.26x,5.2%
2026-08-09,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Flipkart,276,5520,213,3.86%,9,3771,13.66x,7.3%
2026-08-08,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Meesho,595,8925,273,3.06%,26,10894,18.31x,5.5%
2026-08-07,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Myntra,1026,30780,1203,3.91%,58,24302,23.69x,4.2%
2026-08-06,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Own Website,1032,31992,1349,4.22%,173,72487,70.24x,1.4%
2026-08-05,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Amazon,1258,26418,811,3.07%,32,13408,10.66x,9.4%
2026-08-04,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Flipkart,422,16036,498,3.11%,60,25140,59.57x,1.7%
2026-08-03,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Meesho,208,3120,108,3.46%,10,4190,20.14x,5.0%
2026-08-02,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Myntra,686,21266,1013,4.76%,48,20112,29.32x,3.4%
2026-08-01,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Own Website,1273,36917,582,1.58%,42,17598,13.82x,7.2%
2026-07-31,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Amazon,921,33156,1158,3.49%,173,72487,78.70x,1.3%
2026-07-30,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Flipkart,179,3043,141,4.63%,21,8799,49.16x,2.0%
2026-07-29,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Meesho,573,16044,634,3.95%,48,20112,35.10x,2.8%
2026-07-28,Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,Myntra,761,20547,1047,5.10%,145,60755,79.84x,1.3%
2026-08-11,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Amazon,886,25694,1175,4.57%,141,59079,66.68x,1.5%
2026-08-10,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Flipkart,1174,44612,981,2.20%,96,40224,34.26x,2.9%
2026-08-09,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Meesho,1225,46550,734,1.58%,27,11313,9.24x,10.8%
2026-08-08,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Myntra,312,10296,554,5.38%,21,8799,28.20x,3.5%
2026-08-07,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Own Website,976,29280,1433,4.89%,204,85476,87.58x,1.1%
2026-08-06,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Amazon,220,6600,178,2.70%,18,7542,34.28x,2.9%
2026-08-05,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Flipkart,837,14229,389,2.73%,59,24721,29.54x,3.4%
2026-08-04,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Meesho,892,17840,390,2.19%,21,8799,9.86x,10.1%
2026-08-03,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Myntra,1119,19023,458,2.41%,36,15084,13.48x,7.4%
2026-08-02,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Own Website,779,17917,948,5.29%,31,12989,16.67x,6.0%
2026-08-01,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Amazon,507,9633,391,4.06%,21,8799,17.36x,5.8%
2026-07-31,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Flipkart,986,19720,601,3.05%,24,10056,10.20x,9.8%
2026-07-30,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Meesho,437,14421,700,4.85%,78,32682,74.79x,1.3%
2026-07-29,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Myntra,1096,39456,1519,3.85%,71,29749,27.14x,3.7%
2026-07-28,Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),Own Website,708,14160,599,4.23%,51,21369,30.18x,3.3%
2026-08-11,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Flipkart,951,35187,1142,3.25%,140,58660,61.68x,1.6%
2026-08-10,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Meesho,524,16768,920,5.49%,67,28073,53.57x,1.9%
2026-08-09,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Myntra,617,13574,241,1.78%,24,10056,16.30x,6.1%
2026-08-08,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Own Website,539,12397,207,1.67%,17,7123,13.22x,7.6%
2026-08-07,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Amazon,1265,18975,634,3.34%,60,25140,19.87x,5.0%
2026-08-06,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Flipkart,446,14718,528,3.59%,26,10894,24.43x,4.1%
2026-08-05,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Meesho,687,13053,346,2.65%,29,12151,17.69x,5.7%
2026-08-04,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Myntra,1235,35815,926,2.59%,67,28073,22.73x,4.4%
2026-08-03,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Own Website,811,12165,248,2.04%,23,9637,11.88x,8.4%
2026-08-02,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Amazon,658,17108,754,4.41%,100,41900,63.68x,1.6%
2026-08-01,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Flipkart,1280,39680,1397,3.52%,204,85476,66.78x,1.5%
2026-07-31,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Meesho,1039,39482,712,1.80%,86,36034,34.68x,2.9%
2026-07-30,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Myntra,1060,22260,1062,4.77%,94,39386,37.16x,2.7%
2026-07-29,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Own Website,607,16996,428,2.52%,15,6285,10.35x,9.7%
2026-07-28,Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,Amazon,901,27030,1419,5.25%,211,88409,98.12x,1.0%
2026-08-11,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Meesho,1117,18989,892,4.70%,126,52794,47.26x,2.1%
2026-08-10,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Myntra,792,23760,381,1.60%,51,21369,26.98x,3.7%
2026-08-09,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Own Website,619,11761,433,3.68%,23,9637,15.57x,6.4%
2026-08-08,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Amazon,201,6231,189,3.03%,19,7961,39.61x,2.5%
2026-08-07,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Flipkart,887,23949,421,1.76%,32,13408,15.12x,6.6%
2026-08-06,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Meesho,152,3040,126,4.14%,14,5866,38.59x,2.6%
2026-08-05,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Myntra,733,17592,728,4.14%,84,35196,48.02x,2.1%
2026-08-04,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Own Website,1258,26418,1365,5.17%,161,67459,53.62x,1.9%
2026-08-03,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Amazon,197,4334,114,2.63%,13,5447,27.65x,3.6%
2026-08-02,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Flipkart,217,8463,450,5.32%,32,13408,61.79x,1.6%
2026-08-01,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Meesho,581,19754,717,3.63%,85,35615,61.30x,1.6%
2026-07-31,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Myntra,392,12936,583,4.51%,75,31425,80.17x,1.2%
2026-07-30,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Own Website,1051,40989,1945,4.75%,292,122348,116.41x,0.9%
2026-07-29,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Amazon,494,13338,605,4.54%,33,13827,27.99x,3.6%
2026-07-28,Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),Flipkart,742,21518,1044,4.85%,127,53213,71.72x,1.4%
